artifact_name,countr_of_origin,acquisition_date,created_date,description,continent
"Cover, case compartment",France,2010,1965,Dark grey powder-finish on all-metal case exterior; bright chrome trim and closure; black wrinkle-textured interior. Off-white adhesive-backed tape bears hand printed text; cardboard box top.,EU
"Magazine, film",France,2010,1965,Dark grey powder-finish on all-metal case exterior; black metal mounting bracket fitted with two [fixed] screws; black imitation leather and bright chrome trim; black synthetic handle; black wrinkle-textured interior. Off-white adhesive-backed tape bears hand printed text. Black dymo tape labels applied to casing edge.,EU
"Cover, case compartment",France,2010,1965,Dark grey powder-finish on all-metal case exterior; bright chrome trim and closure; black wrinkle-textured interior. Off-white adhesive-backed tape bears hand printed text; cardboard box top.,EU
Camera,France,2010,1970,"Heavy silver metal camera body has selected black and clear synthetic fittings; black imitation leather and bright chrome trims; selected areas [ie. face plates, setting charts, etc.] have flat black finish; black leather handle; glass optics in lens & filter; grey, red and black text and other markings; black rubber eyepiece shield. Adhesive-backed tape used to secure eyepiece shield. Waxed string [?] cord used to secure .2 cover to film magazine.",EU
"Cover, case compartment",France,2010,1970,All metal cover has smooth black finish and black imitation leather trim on exterior; wrinkle-textured finish on inside.,EU
Camera body,Japan,2010,1978,Predominantly black & grey metal and synthetic camera body; selected areas have black imitation leather trim.,AS
"Cap, lens",Japan,2010,1978,Black moulded synthetic lens cap.,AS
"Drive, motor",Japan,2010,1977,Black moulded synthetic and metal motor drive casing and fittings; selected areas have black imitation leather trim.,AS
Camera body,Japan,2010,1971,Predominantly silver metal camera body has some black metal trim and fittings; selected areas have black imitation leather trim.,AS
"Cap, lens",Japan,2010,1971,"Round, black moulded synthetic lens cap.",AS
Camera body,France,2010,1965,"Heavy silver metal camera body has dark grey finish overall, with selected black synthetic fittings; black imitation leather and bright chrome trims; selected areas [ie. face plates, setting charts, etc.] have flat black finish; brown leather handle; clear glass optics. Off-white adhesive-backed tape labels applied to casing.",EU
"Cover, case compartment",France,2010,1965,All metal cover has smooth black finish and black imitation leather trim on exterior; wrinkle-textured finish on inside.,EU
